,return,agent,env,learning_rate,regularization_beta,test_results
536,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
537,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
538,195.0,OpenAI-DeepQ,CartPole-v0,0,0,195.0
539,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
540,178.0,OpenAI-DeepQ,CartPole-v0,0,0,178.0
541,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
542,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
543,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
544,155.0,OpenAI-DeepQ,CartPole-v0,0,0,155.0
545,134.0,OpenAI-DeepQ,CartPole-v0,0,0,134.0
546,150.0,OpenAI-DeepQ,CartPole-v0,0,0,150.0
547,140.0,OpenAI-DeepQ,CartPole-v0,0,0,140.0
548,157.0,OpenAI-DeepQ,CartPole-v0,0,0,157.0
549,185.0,OpenAI-DeepQ,CartPole-v0,0,0,185.0
550,150.0,OpenAI-DeepQ,CartPole-v0,0,0,150.0
551,165.0,OpenAI-DeepQ,CartPole-v0,0,0,165.0
552,132.0,OpenAI-DeepQ,CartPole-v0,0,0,132.0
553,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
554,126.0,OpenAI-DeepQ,CartPole-v0,0,0,126.0
555,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
556,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
557,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
558,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
559,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
560,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
561,118.0,OpenAI-DeepQ,CartPole-v0,0,0,118.0
562,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
563,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
564,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
565,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
566,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
567,13.0,OpenAI-DeepQ,CartPole-v0,0,0,13.0
568,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
569,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
570,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
571,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
572,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
573,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
574,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
575,131.0,OpenAI-DeepQ,CartPole-v0,0,0,131.0
576,135.0,OpenAI-DeepQ,CartPole-v0,0,0,135.0
577,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
578,149.0,OpenAI-DeepQ,CartPole-v0,0,0,149.0
579,145.0,OpenAI-DeepQ,CartPole-v0,0,0,145.0
580,159.0,OpenAI-DeepQ,CartPole-v0,0,0,159.0
